kind,source,roundId,sourceRoundId,lux,hue,sat,observed,predicted,error,censored,atLeast,honoured,bound,luxClamped,limited,foldScored,countedInAcceptance
fold,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,0,100,30,41,11,0,,,,below,,0,0
fold,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,180,100,35,47,12,0,,,,below,,0,0
fold,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,60,100,40,45,5,0,,,,below,,0,0
fold,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,240,100,50,66,16,0,,,,below,,0,0
fold,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,120,100,35,43,8,0,,,,below,,0,0
fold,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,300,100,40,55,15,0,,,,below,,0,0
fold,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,0,100,40,36,-4,0,,,,,,1,1
fold,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,180,100,45,44,-1,0,,,,,,1,1
fold,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,60,100,45,46,1,0,,,,,,1,1
fold,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,240,100,70,63,-7,0,,,,,,1,1
fold,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,120,100,45,42,-3,0,,,,,,1,1
fold,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,300,100,55,50,-5,0,,,,,,1,1
fold,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,0,100,40,43,3,0,,,,,,1,1
fold,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,180,100,50,48,-2,0,,,,,,1,1
fold,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,60,100,50,47,-3,0,,,,,,1,1
fold,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,240,100,80,68,-12,0,,,,,,1,1
fold,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,120,100,50,46,-4,0,,,,,,1,1
fold,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,300,100,60,57,-3,0,,,,,,1,1
fold,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,0,100,48,49,1,0,,,,,,1,1
fold,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,180,100,50,57,7,0,,,,,,1,1
fold,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,60,100,50,56,6,0,,,,,,1,1
fold,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,240,100,70,74,4,0,,,,,,1,1
fold,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,120,100,50,56,6,0,,,,,,1,1
fold,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,300,100,60,63,3,0,,,,,,1,1
fold,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,0,100,60,64,4,0,,,,,,1,1
fold,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,180,100,65,67,2,0,,,lower,,,1,1
fold,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,60,100,65,66,1,0,,,lower,,,1,1
fold,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,240,100,70,85,15,0,,,lower,,,1,1
fold,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,120,100,65,66,1,0,,,,,,1,1
fold,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,300,100,70,74,4,0,,,lower,,,1,1
fold,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,0,100,95,60,-35,0,,,,above,,0,0
fold,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,180,100,100,65,,1,100,0,,above,,0,0
fold,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,60,100,100,65,,1,100,0,,above,,0,0
fold,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,240,100,100,73,,1,100,0,,above,,0,0
fold,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,120,100,95,65,-30,0,,,,above,,0,0
fold,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,300,100,100,70,,1,100,0,,above,,0,0
inSample,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,0,100,30,30,0,0,,,,,,0,0
inSample,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,180,100,35,35,0,0,,,,,,0,0
inSample,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,60,100,40,40,0,0,,,,,,0,0
inSample,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,240,100,50,50,0,0,,,,,,0,0
inSample,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,120,100,35,35,0,0,,,,,,0,0
inSample,round,dark-room-0.02-lux-drift-controlled,dark-room-0.02-lux-drift-controlled,0.02,300,100,40,40,0,0,,,,,,0,0
inSample,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,0,100,40,41,1,0,,,,,,0,0
inSample,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,180,100,45,47,2,0,,,,,,0,0
inSample,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,60,100,45,45,0,0,,,,,,0,0
inSample,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,240,100,70,66,-4,0,,,,,,0,0
inSample,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,120,100,45,43,-2,0,,,,,,0,0
inSample,round,dark-0.07-lux-drift-controlled,dark-0.07-lux-drift-controlled,0.07,300,100,55,55,0,0,,,,,,0,0
inSample,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,0,100,40,42,2,0,,,,,,0,0
inSample,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,180,100,50,51,1,0,,,,,,0,0
inSample,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,60,100,50,50,0,0,,,,,,0,0
inSample,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,240,100,80,73,-7,0,,,,,,0,0
inSample,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,120,100,50,49,-1,0,,,,,,0,0
inSample,round,undeclared@-0.823908740944-log10lux,undeclared@-0.823908740944-log10lux,0.15,300,100,60,57,-3,0,,,,,,0,0
inSample,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,0,100,48,48,0,0,,,,,,0,0
inSample,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,180,100,50,51,1,0,,,,,,0,0
inSample,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,60,100,50,50,0,0,,,,,,0,0
inSample,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,240,100,70,73,3,0,,,,,,0,0
inSample,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,120,100,50,50,0,0,,,,,,0,0
inSample,round,mid-0.5-lux-drift-controlled,mid-0.5-lux-drift-controlled,0.5,300,100,60,60,0,0,,,,,,0,0
inSample,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,0,100,60,60,0,0,,,,,,0,0
inSample,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,180,100,65,65,0,0,,,,,,0,0
inSample,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,60,100,65,65,0,0,,,,,,0,0
inSample,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,240,100,70,73,3,0,,,,,,0,0
inSample,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,120,100,65,65,0,0,,,,,,0,0
inSample,round,mid-1.9-lux-drift-controlled,mid-1.9-lux-drift-controlled,1.9,300,100,70,70,0,0,,,,,,0,0
inSample,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,0,100,95,95,0,0,,,,,,0,0
inSample,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,180,100,100,100,,1,100,1,lower,,ceiling,0,0
inSample,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,60,100,100,100,,1,100,1,lower,,,0,0
inSample,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,240,100,100,100,,1,100,1,lower,,,0,0
inSample,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,120,100,95,95,0,0,,,,,,0,0
inSample,round,bright-10-lux-drift-controlled-ceiling-limited,bright-10-lux-drift-controlled-ceiling-limited,10.0,300,100,100,100,,1,100,1,lower,,ceiling,0,0
